horizon_months,step,date,forecast
35,27,2027-12,321.7679463686435
35,28,2028-01,322.494476137016
35,29,2028-02,323.3075224862665
35,30,2028-03,325.4152155033307
35,31,2028-04,327.81510597433885
35,32,2028-05,330.52619344969776
35,33,2028-06,331.4326762894917
35,34,2028-07,332.696955976082
35,35,2028-08,334.33636695345854
36,1,2025-10,298.1723678484726
36,2,2025-11,297.1429428486286
36,3,2025-12,297.0725930299569
36,4,2026-01,298.7340838648992
36,5,2026-02,300.65357517622215
36,6,2026-03,301.88653735597086
36,7,2026-04,304.0892020255836
36,8,2026-05,306.35938819055866
36,9,2026-06,307.60579029101604
36,10,2026-07,308.31622943283804
36,11,2026-08,309.3999751326695
36,12,2026-09,309.6185913392328
36,13,2026-10,310.32825181662304
36,14,2026-11,309.6856594834136
36,15,2026-12,309.4269373376371
36,16,2027-01,310.62243101608914
36,17,2027-02,311.97840815752227
36,18,2027-03,314.3272992599848
36,19,2027-04,316.4100759929152
36,20,2027-05,318.45487979336883
36,21,2027-06,319.86751579873965
36,22,2027-07,320.29574071207736
36,23,2027-08,321.11415766191067
36,24,2027-09,321.5622273574159
36,25,2027-10,322.49536468447604
36,26,2027-11,322.23096942938076
36,27,2027-12,321.7679463686435
36,28,2028-01,322.494476137016
36,29,2028-02,323.3075224862665
36,30,2028-03,325.4152155033307
36,31,2028-04,327.81510597433885
36,32,2028-05,330.52619344969776
36,33,2028-06,331.4326762894917
36,34,2028-07,332.696955976082
36,35,2028-08,334.33636695345854
36,36,2028-09,334.1258469505919
